id,title,image
1,Cereals,/media/category/cereals-large.jpg
2,Cereals Based,/media/category/cereals-large.jpg
3,Ghee,/media/category/organic-ghee-large.jpg
4,Healthy Foods,/media/category/organic-healthy-food-large.jpg
5,Indian Beverages,/media/category/organic-beverages-small.jpg
6,Oil,/media/category/oil-small.jpg
7,Pulses,/media/category/pulses-large.jpg
8,Pulses Based,/media/category/pulses-based-large.jpg
9,Spices,/media/category/spices-small.jpg
10,Spices /Condiments,/media/category/spices-condiments-small.jpg
11,Sugar Products,/media/category/organic-sugar-large.png
12,Processed Products,/media/category/processed_food_small.jpg
